pcode,county,year_month,conflict_events,conflict_fatalities
KE030,Baringo,2006-08,1,5
KE030,Baringo,2007-07,1,0
KE030,Baringo,2007-10,1,2
KE030,Baringo,2007-11,2,0
KE030,Baringo,2007-12,1,9
KE030,Baringo,2008-01,2,1
KE030,Baringo,2008-02,1,0
KE030,Baringo,2008-03,2,29
KE030,Baringo,2008-08,1,0
KE030,Baringo,2011-01,1,2
KE030,Baringo,2011-12,1,0
KE030,Baringo,2012-10,2,2
KE030,Baringo,2012-11,1,1
KE030,Baringo,2012-12,3,4
KE030,Baringo,2013-01,1,0
KE030,Baringo,2013-02,3,8
KE030,Baringo,2013-03,3,4
KE030,Baringo,2013-04,2,4
KE030,Baringo,2013-05,1,10
KE030,Baringo,2014-01,3,32
KE030,Baringo,2014-03,2,1
KE030,Baringo,2014-06,3,2
KE030,Baringo,2014-08,2,3
KE030,Baringo,2014-10,2,9
KE030,Baringo,2014-12,1,0
KE030,Baringo,2015-02,3,55
KE030,Baringo,2015-03,1,1
KE030,Baringo,2015-11,1,1
KE030,Baringo,2016-01,2,4
KE030,Baringo,2017-02,6,16
KE030,Baringo,2017-03,3,0
KE030,Baringo,2017-04,1,5
KE030,Baringo,2017-05,1,1
KE030,Baringo,2017-06,3,6
KE030,Baringo,2017-08,5,15
KE030,Baringo,2017-09,1,5
KE030,Baringo,2017-10,1,0
KE030,Baringo,2017-11,4,15
KE030,Baringo,2018-01,1,1
KE030,Baringo,2018-04,5,14
KE030,Baringo,2018-08,1,0
KE030,Baringo,2018-09,2,3
KE030,Baringo,2018-10,5,6
KE030,Baringo,2018-11,1,1
KE030,Baringo,2018-12,2,2
KE030,Baringo,2019-01,1,1
KE030,Baringo,2019-02,2,7
KE030,Baringo,2019-05,2,1
KE030,Baringo,2019-10,2,3
KE030,Baringo,2019-11,2,4
KE030,Baringo,2019-12,1,1
KE030,Baringo,2020-01,1,1
KE030,Baringo,2020-02,2,3
KE030,Baringo,2020-03,1,0
KE030,Baringo,2020-04,3,1
KE030,Baringo,2020-09,1,0
KE030,Baringo,2020-12,1,1
KE030,Baringo,2021-01,6,16
KE030,Baringo,2021-03,2,1
KE030,Baringo,2021-07,3,2
KE030,Baringo,2021-10,1,1
KE030,Baringo,2021-11,1,1
KE030,Baringo,2022-01,7,5
KE030,Baringo,2022-02,4,13
KE030,Baringo,2022-03,2,3
KE030,Baringo,2022-04,7,5
KE030,Baringo,2022-05,11,14
KE030,Baringo,2022-06,2,0
KE030,Baringo,2022-07,1,2
KE030,Baringo,2022-08,2,1
KE030,Baringo,2022-10,1,1
KE030,Baringo,2022-11,1,2
KE030,Baringo,2022-12,3,3
KE030,Baringo,2023-01,4,4
KE030,Baringo,2023-02,3,0
KE030,Baringo,2023-03,5,3
KE030,Baringo,2023-04,6,2
KE030,Baringo,2023-05,1,0
KE030,Baringo,2023-07,4,3
KE030,Baringo,2023-08,4,2
KE030,Baringo,2023-09,7,8
KE030,Baringo,2023-10,9,3
KE030,Baringo,2023-11,8,5
KE030,Baringo,2024-01,2,2
KE030,Baringo,2024-02,7,5
KE030,Baringo,2024-03,10,4
KE030,Baringo,2024-04,1,1
KE030,Baringo,2024-05,3,2
KE030,Baringo,2024-06,3,6
KE030,Baringo,2024-07,2,2
KE030,Baringo,2024-09,2,0
KE030,Baringo,2024-10,3,1
KE030,Baringo,2024-11,1,0
KE030,Baringo,2024-12,1,0
KE030,Baringo,2025-01,3,3
KE030,Baringo,2025-03,6,2
KE030,Baringo,2025-04,3,5
KE030,Baringo,2025-05,3,4
KE030,Baringo,2025-07,2,0
KE030,Baringo,2025-08,2,1
KE030,Baringo,2025-09,1,1
KE030,Baringo,2025-10,1,1
KE030,Baringo,2025-12,1,1
KE036,Bomet,2007-12,1,0
KE036,Bomet,2008-01,1,6
KE036,Bomet,2009-07,1,0
KE036,Bomet,2010-07,1,1
KE036,Bomet,2010-12,1,0
KE036,Bomet,2018-08,1,0
KE036,Bomet,2019-05,1,1
KE036,Bomet,2020-02,1,0
KE036,Bomet,2020-09,1,0
KE036,Bomet,2023-04,1,0
KE036,Bomet,2026-10,1,0
KE039,Bungoma,2006-12,1,2
KE039,Bungoma,2007-01,7,31
KE039,Bungoma,2007-03,5,13
KE039,Bungoma,2007-04,6,16
KE039,Bungoma,2007-06,1,5
KE039,Bungoma,2007-07,2,2
KE039,Bungoma,2007-08,5,14
KE039,Bungoma,2007-09,1,3
KE039,Bungoma,2007-10,1,1
KE039,Bungoma,2007-11,1,0
KE039,Bungoma,2007-12,1,1
KE039,Bungoma,2008-03,1,3
KE039,Bungoma,2008-05,1,11
KE039,Bungoma,2008-09,1,5
KE039,Bungoma,2008-10,1,9
KE039,Bungoma,2010-01,1,1
KE039,Bungoma,2010-07,1,0
KE039,Bungoma,2012-02,1,0
KE039,Bungoma,2013-03,1,0
KE039,Bungoma,2013-04,6,7
KE039,Bungoma,2013-09,1,1
KE039,Bungoma,2015-10,1,1
KE039,Bungoma,2017-02,2,5
KE039,Bungoma,2017-05,1,0
KE039,Bungoma,2017-07,1,1
KE039,Bungoma,2017-09,1,0
KE039,Bungoma,2018-02,1,4
KE039,Bungoma,2018-12,2,2
KE039,Bungoma,2020-03,1,0
KE039,Bungoma,2020-11,1,1
KE039,Bungoma,2021-08,2,1
KE039,Bungoma,2022-06,2,1
KE039,Bungoma,2022-12,2,2
KE039,Bungoma,2023-10,1,0
KE039,Bungoma,2024-02,3,2
KE039,Bungoma,2025-01,1,0
KE039,Bungoma,2025-08,1,0
KE039,Bungoma,2025-11,1,0
KE040,Busia,2007-09,1,0
KE040,Busia,2007-11,2,0
KE040,Busia,2007-12,1,30
KE040,Busia,2008-01,1,1
KE040,Busia,2011-04,1,3
KE040,Busia,2012-07,1,0
KE040,Busia,2012-09,4,0
KE040,Busia,2013-01,1,1
KE040,Busia,2013-04,2,3
KE040,Busia,2013-05,1,1
KE040,Busia,2018-07,1,1
KE040,Busia,2020-03,2,0
KE040,Busia,2020-11,1,1
KE040,Busia,2023-01,1,2
KE040,Busia,2023-05,1,0
KE040,Busia,2023-07,1,1
KE040,Busia,2024-03,2,0
KE040,Busia,2025-01,1,0
KE040,Busia,2026-01,1,0
KE028,Elgeyo-Marakwet,2007-11,1,0
KE028,Elgeyo-Marakwet,2009-10,1,1
KE028,Elgeyo-Marakwet,2010-04,1,0
KE028,Elgeyo-Marakwet,2011-01,1,1
KE028,Elgeyo-Marakwet,2013-08,1,0
KE028,Elgeyo-Marakwet,2015-11,2,2
KE028,Elgeyo-Marakwet,2016-07,1,4
KE028,Elgeyo-Marakwet,2016-12,3,3
KE028,Elgeyo-Marakwet,2017-01,1,0
KE028,Elgeyo-Marakwet,2017-02,2,3
KE028,Elgeyo-Marakwet,2017-04,2,6
KE028,Elgeyo-Marakwet,2017-05,1,0
KE028,Elgeyo-Marakwet,2017-06,1,1
KE028,Elgeyo-Marakwet,2017-07,2,1
KE028,Elgeyo-Marakwet,2017-08,1,0
KE028,Elgeyo-Marakwet,2017-10,1,1
KE028,Elgeyo-Marakwet,2017-11,1,0
KE028,Elgeyo-Marakwet,2017-12,1,5
KE028,Elgeyo-Marakwet,2018-01,3,2
KE028,Elgeyo-Marakwet,2018-06,2,4
KE028,Elgeyo-Marakwet,2018-10,3,3
KE028,Elgeyo-Marakwet,2018-11,2,1
KE028,Elgeyo-Marakwet,2019-02,1,1
KE028,Elgeyo-Marakwet,2019-03,1,2
KE028,Elgeyo-Marakwet,2020-05,1,1
KE028,Elgeyo-Marakwet,2020-10,1,2
KE028,Elgeyo-Marakwet,2021-03,2,7
KE028,Elgeyo-Marakwet,2021-07,2,6
KE028,Elgeyo-Marakwet,2021-09,2,4
KE028,Elgeyo-Marakwet,2021-10,3,11
KE028,Elgeyo-Marakwet,2021-11,4,6
KE028,Elgeyo-Marakwet,2022-01,7,6
KE028,Elgeyo-Marakwet,2022-02,4,12
KE028,Elgeyo-Marakwet,2022-03,3,2
KE028,Elgeyo-Marakwet,2022-04,1,0
KE028,Elgeyo-Marakwet,2022-05,4,9
KE028,Elgeyo-Marakwet,2022-06,1,0
KE028,Elgeyo-Marakwet,2022-07,3,1
KE028,Elgeyo-Marakwet,2022-09,2,1
KE028,Elgeyo-Marakwet,2022-12,2,3
KE028,Elgeyo-Marakwet,2023-01,4,8
KE028,Elgeyo-Marakwet,2023-02,2,2
KE028,Elgeyo-Marakwet,2023-03,2,2
KE028,Elgeyo-Marakwet,2023-04,2,2
KE028,Elgeyo-Marakwet,2023-07,2,1
KE028,Elgeyo-Marakwet,2023-08,2,1
KE028,Elgeyo-Marakwet,2023-09,1,1
KE028,Elgeyo-Marakwet,2023-11,3,3
KE028,Elgeyo-Marakwet,2023-12,3,10
KE028,Elgeyo-Marakwet,2024-01,1,1
KE028,Elgeyo-Marakwet,2024-02,1,2
KE028,Elgeyo-Marakwet,2024-03,3,3
KE028,Elgeyo-Marakwet,2024-04,1,0
KE028,Elgeyo-Marakwet,2024-07,1,2
KE028,Elgeyo-Marakwet,2024-08,1,1
KE028,Elgeyo-Marakwet,2024-10,1,1
KE028,Elgeyo-Marakwet,2024-12,1,3
KE028,Elgeyo-Marakwet,2025-01,3,7
KE028,Elgeyo-Marakwet,2025-02,1,0
KE028,Elgeyo-Marakwet,2025-03,2,2
KE028,Elgeyo-Marakwet,2025-04,1,0
KE028,Elgeyo-Marakwet,2025-05,5,2
KE028,Elgeyo-Marakwet,2025-07,1,0
KE028,Elgeyo-Marakwet,2025-08,1,0
KE028,Elgeyo-Marakwet,2025-09,2,0
KE028,Elgeyo-Marakwet,2025-10,3,2
KE028,Elgeyo-Marakwet,2025-12,2,1
KE028,Elgeyo-Marakwet,2026-04,1,1
KE028,Elgeyo-Marakwet,2026-10,1,0
KE014,Embu,2006-04,1,1
KE014,Embu,2010-06,2,10
KE014,Embu,2014-12,1,1
KE014,Embu,2018-07,1,1
KE014,Embu,2018-12,1,0
KE014,Embu,2019-05,2,1
KE014,Embu,2019-07,1,1
KE014,Embu,2019-12,1,0
KE014,Embu,2020-05,1,0
KE014,Embu,2021-04,1,0
KE014,Embu,2021-08,1,0
KE014,Embu,2022-03,1,0
KE014,Embu,2022-08,2,0
KE014,Embu,2022-09,1,0
KE014,Embu,2022-11,1,1
KE014,Embu,2023-04,1,2
KE014,Embu,2024-04,1,0
KE014,Embu,2024-09,1,0
KE014,Embu,2024-12,1,0
KE014,Embu,2025-04,1,0
KE014,Embu,2025-07,2,0
KE014,Embu,2025-11,1,1
KE014,Embu,2026-01,1,0
KE007,Garissa,2006-12,1,0
KE007,Garissa,2007-01,2,1
KE007,Garissa,2008-03,1,8
KE007,Garissa,2008-05,1,4
KE007,Garissa,2008-06,1,0
KE007,Garissa,2008-12,1,0
KE007,Garissa,2010-02,1,0
KE007,Garissa,2010-07,1,0
KE007,Garissa,2011-01,2,2
KE007,Garissa,2011-02,2,0
KE007,Garissa,2011-03,4,14
KE007,Garissa,2011-05,2,2
KE007,Garissa,2011-06,1,0
KE007,Garissa,2011-08,2,1
KE007,Garissa,2011-10,1,0
KE007,Garissa,2011-11,1,6
KE007,Garissa,2011-12,8,24
KE007,Garissa,2012-01,2,0
KE007,Garissa,2012-03,2,2
KE007,Garissa,2012-05,4,2
KE007,Garissa,2012-06,4,20
KE007,Garissa,2012-07,5,5
KE007,Garissa,2012-08,2,1
KE007,Garissa,2012-09,7,4
KE007,Garissa,2012-10,8,8
KE007,Garissa,2012-11,4,5
KE007,Garissa,2012-12,6,18
KE007,Garissa,2013-01,4,1
KE007,Garissa,2013-02,5,11
KE007,Garissa,2013-03,3,6
KE007,Garissa,2013-04,3,11
KE007,Garissa,2013-05,5,11
KE007,Garissa,2013-06,1,0
KE007,Garissa,2013-07,2,8
KE007,Garissa,2013-08,1,20
KE007,Garissa,2013-09,1,0
KE007,Garissa,2013-10,1,4
KE007,Garissa,2013-12,3,5
KE007,Garissa,2014-01,1,2
KE007,Garissa,2014-03,2,0
KE007,Garissa,2014-04,2,0
KE007,Garissa,2014-05,3,2
KE007,Garissa,2014-06,2,1
KE007,Garissa,2014-07,2,1
KE007,Garissa,2014-08,2,6
KE007,Garissa,2014-09,3,3
KE007,Garissa,2014-10,1,0
KE007,Garissa,2014-11,5,17
KE007,Garissa,2014-12,2,3
KE007,Garissa,2015-03,3,153
KE007,Garissa,2015-04,1,0
KE007,Garissa,2015-05,4,20
KE007,Garissa,2015-09,1,3
KE007,Garissa,2015-10,3,0
KE007,Garissa,2015-11,3,1
KE007,Garissa,2016-01,1,4
KE007,Garissa,2016-03,1,4
KE007,Garissa,2016-05,1,10
KE007,Garissa,2016-06,1,1
KE007,Garissa,2016-09,2,7
KE007,Garissa,2016-10,1,4
KE007,Garissa,2016-11,1,0
KE007,Garissa,2017-02,2,3
KE007,Garissa,2017-03,3,4
KE007,Garissa,2017-05,7,25
KE007,Garissa,2017-06,2,0
KE007,Garissa,2017-07,3,20
KE007,Garissa,2017-08,2,0
KE007,Garissa,2017-10,2,0
KE007,Garissa,2017-11,2,0
KE007,Garissa,2017-12,3,5
KE007,Garissa,2018-01,2,2
KE007,Garissa,2018-02,1,5
KE007,Garissa,2018-03,1,0
KE007,Garissa,2018-06,3,0
KE007,Garissa,2018-07,1,0
KE007,Garissa,2018-08,1,2
KE007,Garissa,2018-10,1,0
KE007,Garissa,2018-11,1,1
KE007,Garissa,2019-01,1,0
KE007,Garissa,2019-03,1,2
KE007,Garissa,2019-06,2,3
KE007,Garissa,2019-09,2,3
KE007,Garissa,2019-11,2,1
KE007,Garissa,2019-12,3,20
KE007,Garissa,2020-01,2,1
KE007,Garissa,2020-02,2,0
KE007,Garissa,2020-03,3,17
KE007,Garissa,2020-04,3,6
KE007,Garissa,2020-05,1,0
KE007,Garissa,2020-07,3,9
KE007,Garissa,2020-08,4,2
KE007,Garissa,2020-11,2,4
KE007,Garissa,2020-12,1,4
KE007,Garissa,2021-04,1,0
KE007,Garissa,2021-06,1,2
KE007,Garissa,2021-07,1,0
KE007,Garissa,2021-12,1,0
KE007,Garissa,2022-02,4,6
KE007,Garissa,2022-03,4,4
KE007,Garissa,2022-04,4,0
KE007,Garissa,2022-05,5,10
KE007,Garissa,2022-06,1,10
KE007,Garissa,2022-07,2,0
KE007,Garissa,2022-08,2,24
KE007,Garissa,2022-10,1,1
KE007,Garissa,2022-12,2,3
KE007,Garissa,2023-01,7,25
KE007,Garissa,2023-02,5,2
KE007,Garissa,2023-04,2,1
KE007,Garissa,2023-05,2,5
KE007,Garissa,2023-06,2,0
KE007,Garissa,2023-07,5,8
KE007,Garissa,2023-08,1,3
KE007,Garissa,2023-09,9,11
KE007,Garissa,2023-10,8,26
KE007,Garissa,2023-11,9,9
KE007,Garissa,2023-12,8,12
KE007,Garissa,2024-01,1,4
KE007,Garissa,2024-02,3,5
KE007,Garissa,2024-03,5,2
KE007,Garissa,2024-04,5,2
KE007,Garissa,2024-06,2,0
KE007,Garissa,2024-07,4,2
KE007,Garissa,2024-08,2,1
KE007,Garissa,2024-09,7,15
KE007,Garissa,2024-10,2,2
KE007,Garissa,2024-11,2,1
KE007,Garissa,2024-12,2,1
KE007,Garissa,2025-02,2,3
KE007,Garissa,2025-03,6,11
KE007,Garissa,2025-05,3,8
KE007,Garissa,2025-08,3,2
KE007,Garissa,2025-09,1,0
KE007,Garissa,2025-10,1,0
KE007,Garissa,2025-11,4,3
KE007,Garissa,2025-12,7,17
KE007,Garissa,2026-01,4,2
KE007,Garissa,2026-02,3,3
KE007,Garissa,2026-03,5,8
KE007,Garissa,2026-04,5,9
KE007,Garissa,2026-07,2,3
KE007,Garissa,2026-10,2,1
KE043,Homa Bay,2007-01,1,0
KE043,Homa Bay,2013-01,1,0
KE043,Homa Bay,2013-09,1,1
KE043,Homa Bay,2014-05,1,1
KE043,Homa Bay,2017-04,1,0
KE043,Homa Bay,2018-03,1,0
KE043,Homa Bay,2018-09,1,0
KE043,Homa Bay,2019-01,1,1
KE043,Homa Bay,2019-04,1,0
KE043,Homa Bay,2019-10,1,1
KE043,Homa Bay,2020-03,2,2
KE043,Homa Bay,2021-07,1,1
KE043,Homa Bay,2022-02,1,0
KE043,Homa Bay,2022-04,1,0
KE043,Homa Bay,2022-05,1,0
KE043,Homa Bay,2022-06,1,1
KE043,Homa Bay,2023-04,1,1
KE043,Homa Bay,2023-05,1,1
KE043,Homa Bay,2023-09,1,0
KE043,Homa Bay,2023-11,1,0
KE043,Homa Bay,2024-04,1,1
KE043,Homa Bay,2024-06,1,1
KE043,Homa Bay,2024-09,1,2
KE043,Homa Bay,2024-10,1,0
