pcode,county,year_month,price_beans,price_maize
KE030,Baringo,2015-01,104.0,42.0
KE030,Baringo,2015-02,107.0,47.0
KE030,Baringo,2015-03,112.0,38.0
KE030,Baringo,2015-04,105.0,42.0
KE030,Baringo,2015-05,106.0,45.0
KE030,Baringo,2015-06,113.0,45.0
KE030,Baringo,2015-07,105.0,44.0
KE030,Baringo,2015-08,102.0,46.0
KE030,Baringo,2015-09,102.0,44.0
KE030,Baringo,2015-10,103.0,37.0
KE030,Baringo,2015-11,94.0,39.0
KE030,Baringo,2015-12,101.0,41.0
KE030,Baringo,2016-01,108.0,41.0
KE030,Baringo,2016-02,97.0,39.0
KE030,Baringo,2016-03,96.0,40.0
KE030,Baringo,2016-05,97.0,43.0
KE030,Baringo,2016-06,90.0,39.0
KE030,Baringo,2016-07,103.0,41.0
KE030,Baringo,2016-08,94.0,41.0
KE030,Baringo,2016-09,90.0,37.0
KE030,Baringo,2016-10,98.0,43.0
KE030,Baringo,2016-11,123.0,48.0
KE030,Baringo,2016-12,106.0,48.0
KE030,Baringo,2017-01,108.0,55.0
KE030,Baringo,2017-02,112.0,52.0
KE030,Baringo,2017-03,114.0,57.0
KE030,Baringo,2017-04,127.0,62.0
KE030,Baringo,2017-05,138.0,73.0
KE030,Baringo,2017-06,129.0,81.0
KE030,Baringo,2017-07,118.0,58.0
KE030,Baringo,2017-08,120.0,52.0
KE030,Baringo,2017-09,104.0,53.0
KE030,Baringo,2017-10,108.0,53.0
KE030,Baringo,2017-11,121.0,50.0
KE030,Baringo,2017-12,120.0,48.0
KE030,Baringo,2018-01,106.0,52.0
KE030,Baringo,2018-02,111.0,53.0
KE030,Baringo,2018-03,112.0,52.0
KE030,Baringo,2018-04,113.0,43.0
KE030,Baringo,2018-05,105.0,44.0
KE030,Baringo,2018-06,108.0,40.0
KE030,Baringo,2018-07,98.0,42.0
KE030,Baringo,2018-08,100.0,38.0
KE030,Baringo,2018-09,103.0,36.0
KE030,Baringo,2018-10,103.0,33.0
KE030,Baringo,2018-11,105.0,35.0
KE030,Baringo,2018-12,107.0,36.0
KE030,Baringo,2019-01,109.0,36.0
KE030,Baringo,2019-02,111.0,
KE030,Baringo,2019-03,111.0,
KE030,Baringo,2019-04,117.0,44.0
KE030,Baringo,2019-05,105.0,52.0
KE030,Baringo,2019-06,121.0,51.0
KE030,Baringo,2019-07,139.2,55.7
KE030,Baringo,2019-08,126.3,54.6
KE030,Baringo,2019-09,113.0,46.5
KE030,Baringo,2019-10,109.0,44.0
KE030,Baringo,2019-11,108.0,44.0
KE030,Baringo,2019-12,115.0,46.0
KE030,Baringo,2020-01,124.0,46.0
KE030,Baringo,2020-02,111.0,47.3
KE030,Baringo,2020-03,114.2,48.5
KE030,Baringo,2020-04,121.51,51.7
KE030,Baringo,2020-05,125.2,52.0
KE030,Baringo,2020-06,131.9,51.0
KE030,Baringo,2020-07,126.0,47.0
KE030,Baringo,2020-08,120.0,41.0
KE030,Baringo,2020-09,107.0,39.0
KE030,Baringo,2020-10,114.0,39.0
KE030,Baringo,2020-11,117.0,39.0
KE030,Baringo,2020-12,114.0,40.0
KE030,Baringo,2023-12,155.33333333333334,82.5
KE030,Baringo,2024-03,177.2,82.66666666666667
KE030,Baringo,2025-03,145.0,53.0
KE007,Garissa,2015-01,,65.0
KE007,Garissa,2015-02,,65.0
KE007,Garissa,2015-03,,65.0
KE007,Garissa,2015-04,,65.0
KE007,Garissa,2015-05,,60.0
KE007,Garissa,2015-06,,50.0
KE007,Garissa,2015-07,,50.0
KE007,Garissa,2015-08,,50.0
KE007,Garissa,2015-09,,50.0
