pcode,county,year_month,ipc_phase,population_in_phase,population_fraction_in_phase
KE030,Baringo,2019-07,1,246294,0.35
KE030,Baringo,2019-07,2,351849,0.5
KE030,Baringo,2019-07,3,70370,0.1
KE030,Baringo,2019-07,3+,105555,0.15
KE030,Baringo,2019-07,4,35185,0.05
KE030,Baringo,2019-07,5,0,0.0
KE030,Baringo,2019-07,all,703697,1.0
KE030,Baringo,2020-02,1,466748,0.7
KE030,Baringo,2020-02,2,166696,0.25
KE030,Baringo,2020-02,3,33339,0.05
KE030,Baringo,2020-02,3+,33339,0.05
KE030,Baringo,2020-02,4,0,0.0
KE030,Baringo,2020-02,5,0,0.0
KE030,Baringo,2020-02,all,666783,1.0
KE030,Baringo,2020-08,1,533426,0.8
KE030,Baringo,2020-08,2,100017,0.15
KE030,Baringo,2020-08,3,33339,0.05
KE030,Baringo,2020-08,3+,33339,0.05
KE030,Baringo,2020-08,4,0,0.0
KE030,Baringo,2020-08,5,0,0.0
KE030,Baringo,2020-08,all,666783,1.0
KE030,Baringo,2021-02,1,400070,0.6
KE030,Baringo,2021-02,2,200035,0.3
KE030,Baringo,2021-02,3,66678,0.1
KE030,Baringo,2021-02,3+,66678,0.1
KE030,Baringo,2021-02,4,0,0.0
KE030,Baringo,2021-02,5,0,0.0
KE030,Baringo,2021-02,all,666783,1.0
KE030,Baringo,2021-07,1,333392,0.5
KE030,Baringo,2021-07,2,200035,0.3
KE030,Baringo,2021-07,3,100017,0.15
KE030,Baringo,2021-07,3+,133356,0.2
KE030,Baringo,2021-07,4,33339,0.05
KE030,Baringo,2021-07,5,0,0.0
KE030,Baringo,2021-07,all,666783,1.0
KE030,Baringo,2022-02,1,200035,0.3
KE030,Baringo,2022-02,2,233374,0.35
KE030,Baringo,2022-02,3,200035,0.3
KE030,Baringo,2022-02,3+,233374,0.35
KE030,Baringo,2022-02,4,33339,0.05
KE030,Baringo,2022-02,5,0,0.0
KE030,Baringo,2022-02,all,666783,1.0
KE030,Baringo,2022-07,1,104752,0.3
KE030,Baringo,2022-07,2,104752,0.3
KE030,Baringo,2022-07,3,122211,0.35
KE030,Baringo,2022-07,3+,139670,0.4
KE030,Baringo,2022-07,4,17459,0.05
KE030,Baringo,2022-07,5,0,0.0
KE030,Baringo,2022-07,all,349173,1.0
KE030,Baringo,2023-02,1,293333,0.4
KE030,Baringo,2023-02,2,220000,0.3
KE030,Baringo,2023-02,3,220000,0.3
KE030,Baringo,2023-02,3+,220000,0.3
KE030,Baringo,2023-02,4,0,0.0
KE030,Baringo,2023-02,5,0,0.0
KE030,Baringo,2023-02,all,733333,1.0
KE030,Baringo,2023-07,1,366500,0.5
KE030,Baringo,2023-07,2,256550,0.35
KE030,Baringo,2023-07,3,73300,0.1
KE030,Baringo,2023-07,3+,109950,0.15
KE030,Baringo,2023-07,4,36650,0.05
KE030,Baringo,2023-07,5,0,0.0
KE030,Baringo,2023-07,all,733000,1.0
KE030,Baringo,2024-02,1,439800,0.6
KE030,Baringo,2024-02,2,219900,0.3
KE030,Baringo,2024-02,3,73300,0.1
KE030,Baringo,2024-02,3+,73300,0.1
KE030,Baringo,2024-02,4,0,0.0
KE030,Baringo,2024-02,5,0,0.0
KE030,Baringo,2024-02,all,733000,1.0
KE030,Baringo,2024-07,1,586400,0.8
KE030,Baringo,2024-07,2,109950,0.15
KE030,Baringo,2024-07,3,36650,0.05
KE030,Baringo,2024-07,3+,36650,0.05
KE030,Baringo,2024-07,4,0,0.0
KE030,Baringo,2024-07,5,0,0.0
KE030,Baringo,2024-07,all,733000,1.0
KE030,Baringo,2025-02,1,293200,0.4
KE030,Baringo,2025-02,2,366500,0.5
KE030,Baringo,2025-02,3,73300,0.1
KE030,Baringo,2025-02,3+,73300,0.1
KE030,Baringo,2025-02,4,0,0.0
KE030,Baringo,2025-02,5,0,0.0
KE030,Baringo,2025-02,all,733000,1.0
KE030,Baringo,2025-07,1,219900,0.3
KE030,Baringo,2025-07,2,403150,0.55
KE030,Baringo,2025-07,3,73300,0.1
KE030,Baringo,2025-07,3+,109950,0.15
KE030,Baringo,2025-07,4,36650,0.05
KE030,Baringo,2025-07,5,0,0.0
KE030,Baringo,2025-07,all,733000,1.0
KE028,Elgeyo-Marakwet,2023-02,1,0,0.0
KE028,Elgeyo-Marakwet,2023-02,2,0,0.0
KE028,Elgeyo-Marakwet,2023-02,3,0,0.0
KE028,Elgeyo-Marakwet,2023-02,3+,0,0.0
KE028,Elgeyo-Marakwet,2023-02,4,0,0.0
KE028,Elgeyo-Marakwet,2023-02,5,0,0.0
KE028,Elgeyo-Marakwet,2023-02,all,495239,1.0
KE014,Embu,2019-07,1,65766,0.3
KE014,Embu,2019-07,2,120571,0.55
KE014,Embu,2019-07,3,32883,0.15
KE014,Embu,2019-07,3+,32883,0.15
KE014,Embu,2019-07,4,0,0.0
KE014,Embu,2019-07,5,0,0.0
KE014,Embu,2019-07,all,219220,1.0
KE014,Embu,2020-02,1,231503,0.85
KE014,Embu,2020-02,2,40854,0.15
KE014,Embu,2020-02,3,0,0.0
KE014,Embu,2020-02,3+,0,0.0
KE014,Embu,2020-02,4,0,0.0
KE014,Embu,2020-02,5,0,0.0
KE014,Embu,2020-02,all,272357,1.0
KE014,Embu,2020-08,1,163414,0.6
KE014,Embu,2020-08,2,108943,0.4
KE014,Embu,2020-08,3,0,0.0
KE014,Embu,2020-08,3+,0,0.0
KE014,Embu,2020-08,4,0,0.0
KE014,Embu,2020-08,5,0,0.0
KE014,Embu,2020-08,all,272357,1.0
KE014,Embu,2021-02,1,122561,0.45
KE014,Embu,2021-02,2,149796,0.55
KE014,Embu,2021-02,3,0,0.0
KE014,Embu,2021-02,3+,0,0.0
KE014,Embu,2021-02,4,0,0.0
KE014,Embu,2021-02,5,0,0.0
KE014,Embu,2021-02,all,272357,1.0
KE014,Embu,2021-07,1,190650,0.7
KE014,Embu,2021-07,2,54471,0.2
KE014,Embu,2021-07,3,27236,0.1
KE014,Embu,2021-07,3+,27236,0.1
KE014,Embu,2021-07,4,0,0.0
KE014,Embu,2021-07,5,0,0.0
KE014,Embu,2021-07,all,272357,1.0
KE014,Embu,2022-02,1,204268,0.75
KE014,Embu,2022-02,2,54471,0.2
KE014,Embu,2022-02,3,13618,0.05
