pcode,county,total_population
KE030,Baringo,666750
KE036,Bomet,875666
KE039,Bungoma,1670535
KE040,Busia,893653
KE028,Elgeyo-Marakwet,454468
KE014,Embu,608575
KE007,Garissa,841319
KE043,Homa Bay,1131927
KE011,Isiolo,267993
KE034,Kajiado,1117802
KE037,Kakamega,1867539
KE035,Kericho,901749
KE022,Kiambu,2417600
KE003,Kilifi,1453762
KE020,Kirinyaga,610380
KE045,Kisii,1266822
KE042,Kisumu,1155551
KE015,Kitui,1136154
KE002,Kwale,866802
KE031,Laikipia,518542
KE005,Lamu,143916
KE016,Machakos,1421898
KE017,Makueni,987633
KE009,Mandera,867420
KE010,Marsabit,459767
KE012,Meru,1545673
KE044,Migori,1116401
KE001,Mombasa,1208303
KE021,Murang'a,1056609
KE047,Nairobi,4396828
KE032,Nakuru,2162107
KE029,Nandi,885689
KE033,Narok,1157847
KE046,Nyamira,605563
KE018,Nyandarua,638269
KE019,Nyeri,759133
KE025,Samburu,310320
KE041,Siaya,993165
KE006,Taita Taveta,340664
KE004,Tana River,315941
KE013,Tharaka-Nithi,393170
KE026,Trans Nzoia,990313
KE023,Turkana,926955
KE027,Uasin Gishu,1163158
KE038,Vihiga,590001
KE008,Wajir,781214
KE024,West Pokot,621226
