pcode,county,mpi,headcount_ratio,intensity_of_deprivation,in_severe_poverty,vulnerability_tier
KE023,Turkana,0.4968,79.5519,62.4479,64.8855,High
KE009,Mandera,0.4612,81.3359,56.7042,55.9011,High
KE025,Samburu,0.4172,70.16,59.4621,53.6549,High
KE008,Wajir,0.3956,73.1124,54.1107,42.8622,High
KE004,Tana River,0.378,67.2861,56.174,44.4231,High
KE024,West Pokot,0.3546,65.7864,53.9036,37.0121,High
KE010,Marsabit,0.3466,63.5606,54.5357,39.9074,High
KE007,Garissa,0.291,55.2501,52.6725,30.3679,Medium
KE030,Baringo,0.2159,46.8917,46.0451,17.5521,Medium
KE002,Kwale,0.2105,44.5123,47.2996,17.2902,Medium
KE003,Kilifi,0.2026,46.3581,43.7119,13.1869,Medium
KE011,Isiolo,0.1962,39.4936,49.6851,20.3589,Medium
KE033,Narok,0.1934,43.3427,44.629,11.611,Medium
KE015,Kitui,0.151,37.0811,40.7318,8.0134,Medium
KE045,Kisii,0.1502,32.8564,45.7024,11.157,Medium
KE044,Migori,0.1393,33.4521,41.6524,6.2976,Low
KE005,Lamu,0.139,30.26,45.9254,9.9741,Low
KE028,Elgeyo-Marakwet,0.1386,34.2359,40.4762,5.6702,Low
KE012,Meru,0.1234,29.167,42.3162,6.4093,Low
KE040,Busia,0.1221,29.2173,41.7774,5.2813,Low
KE039,Bungoma,0.1153,28.5666,40.3516,3.6231,Low
KE034,Kajiado,0.1108,22.512,49.234,10.6798,Low
KE035,Kericho,0.1099,26.4952,41.4969,6.1348,Low
KE043,Homa Bay,0.108,26.6254,40.5544,3.3817,Low
KE029,Nandi,0.1076,25.7708,41.7678,5.3463,Low
KE013,Tharaka-Nithi,0.1052,25.6435,41.0118,5.6725,Low
KE041,Siaya,0.1032,25.2612,40.8432,2.786,Low
KE017,Makueni,0.1019,25.5705,39.8476,2.3637,Low
KE046,Nyamira,0.0985,24.82,39.7018,4.5827,Low
KE037,Kakamega,0.096,23.9991,40.021,2.8976,Low
KE036,Bomet,0.0957,24.3793,39.2707,1.7629,Low
KE031,Laikipia,0.0945,21.9261,43.117,5.1594,Low
KE026,Trans Nzoia,0.0894,22.5728,39.6186,2.9086,Low
KE038,Vihiga,0.0794,19.5908,40.5292,2.1217,Low
KE006,Taita Taveta,0.0793,19.2683,41.1796,2.7401,Low
KE014,Embu,0.0761,18.7291,40.6388,3.8943,Low
KE032,Nakuru,0.0727,17.7324,40.9854,4.137,Low
KE016,Machakos,0.0723,18.792,38.4708,1.4464,Low
KE042,Kisumu,0.0654,16.5818,39.4295,1.848,Low
KE027,Uasin Gishu,0.0642,16.076,39.9373,1.8783,Low
KE018,Nyandarua,0.057,14.8797,38.3287,0.4096,Low
KE001,Mombasa,0.0518,12.8866,40.2193,2.2801,Low
KE021,Murang'a,0.0453,11.379,39.7788,1.8417,Low
KE020,Kirinyaga,0.0406,10.1199,40.1022,1.8937,Low
KE019,Nyeri,0.04,10.3172,38.7244,1.3266,Low
KE022,Kiambu,0.0222,5.8769,37.7668,0.2213,Low
KE047,Nairobi,0.0089,2.3004,38.5818,0.2227,Low
