COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,reference_period_start,reference_period_end
Kenya,Turkana,Violence against civilians,Attack,1,3,,Political violence,1577,2.9769,35.3593,11/01/1997,17/01/1997
Kenya,Mombasa,Violence against civilians,Attack,1,2,,Political violence,1562,-3.9968,39.6013,18/01/1997,24/01/1997
Kenya,Nakuru,Violence against civilians,Attack,1,1,,Political violence,1565,-0.4613,36.0987,18/01/1997,24/01/1997
Kenya,Nakuru,Protests,Peaceful protest,1,0,,Demonstrations,1565,-0.4613,36.0987,25/01/1997,31/01/1997
Kenya,Nyeri,Violence against civilians,Attack,1,0,,Political violence,1570,-0.3154,36.9285,08/02/1997,14/02/1997
Kenya,Turkana,Violence against civilians,Attack,1,8,,Political violence,1577,2.9769,35.3593,15/02/1997,21/02/1997
Kenya,Kiambu,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,,Political violence,1547,-1.0377,36.8469,22/02/1997,28/02/1997
Kenya,Nairobi,Protests,Peaceful protest,1,0,,Demonstrations,1564,-1.3019,36.827,22/02/1997,28/02/1997
Kenya,Nairobi,Protests,Protest with intervention,1,0,,Demonstrations,1564,-1.3019,36.827,22/02/1997,28/02/1997
Kenya,Nairobi,Riots,Violent demonstration,2,0,,Demonstrations,1564,-1.3019,36.827,22/02/1997,28/02/1997
Kenya,Nakuru,Riots,Violent demonstration,1,0,,Demonstrations,1565,-0.4613,36.0987,22/02/1997,28/02/1997
Kenya,Mandera,Battles,Armed clash,2,16,,Political violence,1558,3.2201,40.7112,22/03/1997,28/03/1997
Kenya,Mandera,Violence against civilians,Attack,2,67,,Political violence,1558,3.2201,40.7112,22/03/1997,28/03/1997
Kenya,Marsabit,Battles,Armed clash,1,16,,Political violence,1559,2.8854,37.7064,22/03/1997,28/03/1997
Kenya,Marsabit,Violence against civilians,Attack,1,80,,Political violence,1559,2.8854,37.7064,22/03/1997,28/03/1997
Kenya,Marsabit,Battles,Armed clash,1,6,,Political violence,1559,2.8854,37.7064,05/04/1997,11/04/1997
Kenya,Kakamega,Violence against civilians,Attack,1,0,,Political violence,1545,0.4979,34.8006,12/04/1997,18/04/1997
Kenya,Kitui,Protests,Protest with intervention,1,0,,Demonstrations,1552,-1.5601,38.371,12/04/1997,18/04/1997
Kenya,Nairobi,Protests,Peaceful protest,1,0,,Demonstrations,1564,-1.3019,36.827,12/04/1997,18/04/1997
Kenya,Uasin Gishu,Violence against civilians,Attack,1,0,,Political violence,1578,0.4879,35.306,12/04/1997,18/04/1997
Kenya,Nairobi,Violence against civilians,Attack,1,1,,Political violence,1564,-1.3019,36.827,19/04/1997,25/04/1997
Kenya,Elgeyo Marakwet,Battles,Armed clash,2,7,,Political violence,1539,0.7429,35.5592,26/04/1997,02/05/1997
Kenya,Nairobi,Riots,Violent demonstration,1,1,,Demonstrations,1564,-1.3019,36.827,03/05/1997,09/05/1997
Kenya,Turkana,Battles,Armed clash,2,15,,Political violence,1577,2.9769,35.3593,10/05/1997,16/05/1997
Kenya,Nairobi,Riots,Violent demonstration,2,0,,Demonstrations,1564,-1.3019,36.827,31/05/1997,06/06/1997
Kenya,Isiolo,Battles,Armed clash,1,1,,Political violence,1543,1.0427,38.7379,07/06/1997,13/06/1997
Kenya,Nairobi,Riots,Mob violence,1,0,,Political violence,1564,-1.3019,36.827,14/06/1997,20/06/1997
Kenya,Nairobi,Riots,Violent demonstration,2,0,,Demonstrations,1564,-1.3019,36.827,14/06/1997,20/06/1997
Kenya,Nairobi,Violence against civilians,Attack,1,0,,Political violence,1564,-1.3019,36.827,14/06/1997,20/06/1997
Kenya,Nairobi,Protests,Peaceful protest,1,0,,Demonstrations,1564,-1.3019,36.827,28/06/1997,04/07/1997
Kenya,Nairobi,Riots,Violent demonstration,1,0,,Demonstrations,1564,-1.3019,36.827,28/06/1997,04/07/1997
Kenya,Kiambu,Protests,Excessive force against protesters,1,1,,Political violence; Demonstrations,1547,-1.0377,36.8469,05/07/1997,11/07/1997
Kenya,Laikipia,Riots,Violent demonstration,1,0,,Demonstrations,1554,0.2877,36.7941,05/07/1997,11/07/1997
Kenya,Laikipia,Violence against civilians,Attack,1,7,,Political violence,1554,0.2877,36.7941,05/07/1997,11/07/1997
Kenya,Nairobi,Protests,Excessive force against protesters,2,11,,Political violence; Demonstrations,1564,-1.3019,36.827,05/07/1997,11/07/1997
Kenya,Nairobi,Riots,Violent demonstration,3,15,,Demonstrations,1564,-1.3019,36.827,05/07/1997,11/07/1997
Kenya,Nakuru,Protests,Peaceful protest,1,0,,Demonstrations,1565,-0.4613,36.0987,05/07/1997,11/07/1997
Kenya,Nairobi,Riots,Violent demonstration,3,0,,Demonstrations,1564,-1.3019,36.827,12/07/1997,18/07/1997
Kenya,Isiolo,Violence against civilians,Attack,1,3,,Political violence,1543,1.0427,38.7379,19/07/1997,25/07/1997
Kenya,Nairobi,Battles,Armed clash,1,0,,Political violence,1564,-1.3019,36.827,19/07/1997,25/07/1997
Kenya,Kiambu,Battles,Armed clash,1,2,,Political violence,1547,-1.0377,36.8469,02/08/1997,08/08/1997
Kenya,Nairobi,Battles,Armed clash,1,1,,Political violence,1564,-1.3019,36.827,02/08/1997,08/08/1997
Kenya,Nairobi,Violence against civilians,Attack,1,1,,Political violence,1564,-1.3019,36.827,02/08/1997,08/08/1997
Kenya,Kilifi,Battles,Armed clash,1,1,,Political violence,1548,-3.1482,39.6705,09/08/1997,15/08/1997
Kenya,Mombasa,Battles,Armed clash,3,6,,Political violence,1562,-3.9968,39.6013,09/08/1997,15/08/1997
Kenya,Nakuru,Riots,Violent demonstration,1,0,,Demonstrations,1565,-0.4613,36.0987,09/08/1997,15/08/1997
Kenya,Kilifi,Battles,Armed clash,1,1,,Political violence,1548,-3.1482,39.6705,16/08/1997,22/08/1997
Kenya,Kwale,Battles,Armed clash,1,0,,Political violence,1553,-4.1198,39.0631,16/08/1997,22/08/1997
Kenya,Mombasa,Battles,Armed clash,4,10,,Political violence,1562,-3.9968,39.6013,16/08/1997,22/08/1997
Kenya,Mombasa,Riots,Mob violence,1,0,,Political violence,1562,-3.9968,39.6013,16/08/1997,22/08/1997
Kenya,Mombasa,Violence against civilians,Attack,8,41,,Political violence,1562,-3.9968,39.6013,16/08/1997,22/08/1997
Kenya,Nairobi,Violence against civilians,Attack,1,5,,Political violence,1564,-1.3019,36.827,16/08/1997,22/08/1997
Kenya,Mombasa,Violence against civilians,Attack,2,2,,Political violence,1562,-3.9968,39.6013,23/08/1997,29/08/1997
Kenya,Kwale,Battles,Armed clash,2,3,,Political violence,1553,-4.1198,39.0631,06/09/1997,12/09/1997
Kenya,Kwale,Violence against civilians,Attack,2,1,,Political violence,1553,-4.1198,39.0631,06/09/1997,12/09/1997
Kenya,Mombasa,Battles,Armed clash,2,9,,Political violence,1562,-3.9968,39.6013,06/09/1997,12/09/1997
Kenya,Mombasa,Violence against civilians,Attack,1,6,,Political violence,1562,-3.9968,39.6013,06/09/1997,12/09/1997
Kenya,Nyeri,Violence against civilians,Attack,1,0,,Political violence,1570,-0.3154,36.9285,06/09/1997,12/09/1997
Kenya,Garissa,Battles,Armed clash,1,5,,Political violence,1541,-0.519,40.3211,13/09/1997,19/09/1997
Kenya,Turkana,Violence against civilians,Attack,1,10,,Political violence,1577,2.9769,35.3593,13/09/1997,19/09/1997
Kenya,West Pokot,Violence against civilians,Attack,1,0,,Political violence,1581,1.8902,35.2019,13/09/1997,19/09/1997
