location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,cereals and tubers,"Maize (white, dry)",90 KG,actual,Wholesale,KES,4050,2025-01-15,2025-02-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,cereals and tubers,"Potatoes (Irish, red)",50 KG,actual,Wholesale,KES,3000,2025-01-15,2025-02-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,pulses and nuts,Cowpeas,90 KG,actual,Wholesale,KES,9000,2025-01-15,2025-02-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,vegetables and fruits,Cabbage,126 KG,actual,Wholesale,KES,2939.58,2025-01-15,2025-02-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,cereals and tubers,Rice (aromatic),50 KG,actual,Wholesale,KES,7768,2025-01-15,2025-02-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,pulses and nuts,Beans (rosecoco),90 KG,actual,Wholesale,KES,10600.2,2025-01-15,2025-02-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,pulses and nuts,Cowpeas,90 KG,actual,Wholesale,KES,9666.9,2025-01-15,2025-02-14
KEN,False,True,Nyanza,Kisumu,KE042,Kisumu,,,2,Kibuye (Kisumu),-0.09,34.77,cereals and tubers,"Maize (white, dry)",90 KG,actual,Wholesale,KES,4416.3,2025-01-15,2025-02-14
KEN,False,True,Nyanza,Kisumu,KE042,Kisumu,,,2,Kibuye (Kisumu),-0.09,34.77,vegetables and fruits,Kale,50 KG,actual,Wholesale,KES,1441,2025-01-15,2025-02-14
KEN,False,True,Nyanza,Kisumu,KE042,Kisumu,,,2,Kibuye (Kisumu),-0.09,34.77,vegetables and fruits,Onions (dry),13 KG,actual,Wholesale,KES,1199.9,2025-01-15,2025-02-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,cereals and tubers,"Maize (white, dry)",90 KG,actual,Wholesale,KES,4275,2025-02-15,2025-03-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,cereals and tubers,"Potatoes (Irish, red)",50 KG,actual,Wholesale,KES,2500,2025-02-15,2025-03-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,pulses and nuts,Cowpeas,90 KG,actual,Wholesale,KES,9000,2025-02-15,2025-03-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,vegetables and fruits,Cabbage,126 KG,actual,Wholesale,KES,2110.5,2025-02-15,2025-03-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,vegetables and fruits,Kale,50 KG,actual,Wholesale,KES,1375,2025-02-15,2025-03-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,vegetables and fruits,Onions (dry),13 KG,actual,Wholesale,KES,1202.5,2025-02-15,2025-03-14
KEN,False,True,Eastern,Makueni,KE017,Makueni,,,2,Kathonzweni (Makueni),-1.91,37.73,vegetables and fruits,Tomatoes,64 KG,actual,Wholesale,KES,3600,2025-02-15,2025-03-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,cereals and tubers,"Maize (white, dry)",90 KG,actual,Wholesale,KES,4260.24,2025-02-15,2025-03-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,cereals and tubers,"Potatoes (Irish, white)",50 KG,actual,Wholesale,KES,3192.86,2025-02-15,2025-03-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,pulses and nuts,Beans (dolichos),90 KG,actual,Wholesale,KES,7340.04,2025-02-15,2025-03-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,pulses and nuts,Cowpeas,90 KG,actual,Wholesale,KES,9074.93,2025-02-15,2025-03-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,vegetables and fruits,Onions (dry),13 KG,actual,Wholesale,KES,975,2025-02-15,2025-03-14
KEN,False,True,Nairobi,Nairobi,KE047,Nairobi,,,2,Kangemi (Nairobi),-1.27,36.74,vegetables and fruits,Tomatoes,64 KG,actual,Wholesale,KES,3200,2025-02-15,2025-03-14
KEN,False,True,Nyanza,Kisumu,KE042,Kisumu,,,2,Kibuye (Kisumu),-0.09,34.77,vegetables and fruits,Kale,50 KG,actual,Wholesale,KES,2291.75,2025-02-15,2025-03-14
KEN,False,True,Nyanza,Kisumu,KE042,Kisumu,,,2,Kibuye (Kisumu),-0.09,34.77,vegetables and fruits,Tomatoes,64 KG,actual,Wholesale,KES,8685.76,2025-02-15,2025-03-14
KEN,False,True,Rift Valley,Uasin Gishu,KE027,Uasin Gishu,,,2,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,"Maize (white, dry)",90 KG,actual,Wholesale,KES,3889.29,2025-02-15,2025-03-14
KEN,False,True,Rift Valley,Uasin Gishu,KE027,Uasin Gishu,,,2,Eldoret town (Uasin Gishu),0.52,35.28,cereals and tubers,"Potatoes (Irish, white)",50 KG,actual,Wholesale,KES,2400,2025-02-15,2025-03-14
KEN,False,True,Rift Valley,Uasin Gishu,KE027,Uasin Gishu,,,2,Eldoret town (Uasin Gishu),0.52,35.28,vegetables and fruits,Cabbage,126 KG,actual,Wholesale,KES,4410,2025-02-15,2025-03-14
KEN,False,True,Rift Valley,Uasin Gishu,KE027,Uasin Gishu,,,2,Eldoret town (Uasin Gishu),0.52,35.28,vegetables and fruits,Kale,50 KG,actual,Wholesale,KES,1875,2025-02-15,2025-03-14
KEN,False,True,Rift Valley,Uasin Gishu,KE027,Uasin Gishu,,,2,Eldoret town (Uasin Gishu),0.52,35.28,vegetables and fruits,Tomatoes,64 KG,actual,Wholesale,KES,5760,2025-02-15,2025-03-14
KEN,False,True,Coast,Kilifi,KE003,Kilifi,,,2,Matanomanne,-3.4,39.78,cereals and tubers,Wheat flour,KG,actual,Retail,KES,88,2025-03-15,2025-04-14
KEN,False,True,Coast,Kilifi,KE003,Kilifi,,,2,Matanomanne,-3.4,39.78,milk and dairy,"Milk (cow, pasteurized)",L,actual,Retail,KES,140,2025-03-15,2025-04-14
KEN,False,True,Coast,Kilifi,KE003,Kilifi,,,2,Matanomanne,-3.4,39.78,miscellaneous food,Salt,200 G,actual,Retail,KES,10,2025-03-15,2025-04-14
KEN,False,True,Coast,Kilifi,KE003,Kilifi,,,2,Matanomanne,-3.4,39.78,oil and fats,"Oil (vegetable, fortified)",L,actual,Retail,KES,280,2025-03-15,2025-04-14
KEN,False,True,Coast,Kilifi,KE003,Kilifi,,,2,Matanomanne,-3.4,39.78,pulses and nuts,Cowpeas (dry),KG,actual,Retail,KES,100,2025-03-15,2025-04-14
KEN,False,True,Coast,Kilifi,KE003,Kilifi,,,2,Matanomanne,-3.4,39.78,pulses and nuts,Pigeon peas (dry),KG,actual,Retail,KES,170,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,cereals and tubers,"Maize (white, dry)",KG,actual,Retail,KES,64,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,cereals and tubers,Maize flour (white),KG,actual,Retail,KES,91,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,cereals and tubers,Rice (aromatic),KG,actual,Retail,KES,132,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,cereals and tubers,Wheat flour,KG,actual,Retail,KES,101,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,miscellaneous food,Salt,200 G,actual,Retail,KES,15,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,miscellaneous food,Sugar,KG,actual,Retail,KES,152,2025-03-15,2025-04-14
KEN,False,True,Coast,Tana River,KE004,Tana River,,,2,Bangale,-0.72,39.02,pulses and nuts,Beans,KG,actual,Retail,KES,147,2025-03-15,2025-04-14
