location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
KEN,False,True,,,,,,,0,f,all,None,None,24014716,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,m,all,None,None,23548056,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,all,all,None,None,47562772,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,0-4,0,4,2986769,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,5-9,5,9,3085516,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,10-14,10,14,3136142,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,15-19,15,19,2599442,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,20-24,20,24,2334777,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,25-29,25,29,2014859,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,30-34,30,34,1871887,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,35-39,35,39,1301828,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,40-44,40,44,1102014,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,45-49,45,49,869871,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,50-54,50,54,645585,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,55-59,55,59,571105,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,60-64,60,64,450553,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,65-69,65,69,346818,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,70-74,70,74,278548,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,75-79,75,79,163820,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,80-84,80,84,120961,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,85-89,85,89,69654,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,90-94,90,94,35869,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,95-99,95,99,18236,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,f,100+,100,None,10164,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,m,0-4,0,4,3006344,2019-01-01,2019-12-31
KEN,False,True,,,,,,,0,m,5-9,5,9,3116951,2019-01-01,2019-12-31
