location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,2.857143,11.827791,46.691467,427,final,2025-02-21,2025-02-28
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,11.629976,43.315693,34.419407,427,final,2025-02-21,2025-02-28
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,150.80562,171.64575,88.2023,427,final,2025-02-21,2025-02-28
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,40.3185,29.22014,132.43225,427,final,2025-03-01,2025-03-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,46.985947,59.81655,80.20474,427,final,2025-03-01,2025-03-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,180.72598,174.48572,103.47675,427,final,2025-03-01,2025-03-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,45.3911,28.629663,149.84123,427,final,2025-03-11,2025-03-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,88.56674,69.6776,125.29426,427,final,2025-03-11,2025-03-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,184.73302,179.64012,102.75828,427,final,2025-03-11,2025-03-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,61.154568,41.624825,141.88701,427,final,2025-03-21,2025-03-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,146.86417,99.47463,145.35985,427,final,2025-03-21,2025-03-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,230.42622,194.10991,118.239334,427,final,2025-03-21,2025-03-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,127.13115,73.95238,167.3555,427,final,2025-04-01,2025-04-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,233.67682,144.20686,159.9637,427,final,2025-04-01,2025-04-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,347.66278,252.30289,137.06134,427,final,2025-04-01,2025-04-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,84.16862,71.15941,117.08154,427,final,2025-04-11,2025-04-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,272.45435,186.73662,144.70598,427,final,2025-04-11,2025-04-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,423.81967,304.16754,138.70139,427,final,2025-04-11,2025-04-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,81.65574,84.53724,96.781784,427,final,2025-04-21,2025-04-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,292.9555,229.64902,126.97922,427,final,2025-04-21,2025-04-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,451.44965,372.43936,120.933235,427,final,2025-04-21,2025-04-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,86.34426,68.00289,125.12417,427,final,2025-05-01,2025-05-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,252.16861,223.69952,112.44825,427,final,2025-05-01,2025-05-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,532.83136,427.72296,124.29,427,final,2025-05-01,2025-05-10
